timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1636142908205,567,POST Register,400,Bad Request,Thread Group 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]00

****** comparison: [[[2]]]00

/",897,233,1,1,https://reqres.in/api/register,566,0,87
1636142920208,473,POST Register,400,Bad Request,Thread Group 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]00

****** comparison: [[[2]]]00

/",905,233,1,1,https://reqres.in/api/register,473,0,79
1636142932209,492,POST Register,400,Bad Request,Thread Group 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]00

****** comparison: [[[2]]]00

/",903,233,1,1,https://reqres.in/api/register,492,0,84
1636142944208,552,POST Register,400,Bad Request,Thread Group 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]00

****** comparison: [[[2]]]00

/",911,233,1,1,https://reqres.in/api/register,552,0,107
1636142956211,482,POST Register,400,Bad Request,Thread Group 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]00

****** comparison: [[[2]]]00

/",903,233,1,1,https://reqres.in/api/register,481,0,79
1636142968211,493,POST Register,400,Bad Request,Thread Group 1-6,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]00

****** comparison: [[[2]]]00

/",905,233,1,1,https://reqres.in/api/register,493,0,81
1636142980209,526,POST Register,400,Bad Request,Thread Group 1-7,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]00

****** comparison: [[[2]]]00

/",901,233,1,1,https://reqres.in/api/register,526,0,81
1636142992208,496,POST Register,400,Bad Request,Thread Group 1-8,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]00

****** comparison: [[[2]]]00

/",905,233,1,1,https://reqres.in/api/register,496,0,82
1636143004207,529,POST Register,400,Bad Request,Thread Group 1-9,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]00

****** comparison: [[[2]]]00

/",907,233,1,1,https://reqres.in/api/register,529,0,79
1636143016204,600,POST Register,400,Bad Request,Thread Group 1-10,text,false,"Test failed: code expected to equal /

****** received  : [[[4]]]00

****** comparison: [[[2]]]00

/",901,233,1,1,https://reqres.in/api/register,600,0,90
